ORD,North America,United States,105,30
PHL,North America,United States,61,12
RDU,North America,United States,42,7
MDW,North America,United States,15,6
SFO,North America,United States,14,6
BOM,Asia,India,8,6
DEL,Asia,India,7,6
CMI,North America,United States,7,2
LAX,North America,United States,7,5
FCO,Europe,Italy,6,3
JFK,North America,United States,6,4
SEA,North America,United States,6,5
BLR,Asia,India,4,3
LHR,Europe,United Kingdom,4,6
BOS,North America,United States,8,3
MIA,North America,United States,7,5
BWI,North America,United States,4,3
JDH,Asia,India,3,3
VOBG,Asia,India,3,1
SJC,North America,United States,3,3
DFW,North America,United States,5,5
DCA,North America,United States,8,4
MAA,Asia,India,2,3
AUH,Asia,United Arab Emirates,2,4
FRA,Asia,Germany,2,2
VNS,Asia,India,2,1
ZRH,Europe,Switzerland,2,2
MAD,Europe,Spain,2,2
BCN,Europe,Spain,2,2
DTW,North America,United States,2,4
NAS,North America,Bahamas,2,1
DEN,North America,United States,4,2
SYR,North America,United States,2,1
STL,North America,United States,3,4
CAI,Africa,Egypt,4,4
LXR,Africa,Egypt,1,1
ASW,Africa,Egypt,2,2
ABS,Africa,Egypt,1,1
AMM,Asia,Jordan,1,1
TLV,Asia,Israel,1,1
HKG,Asia,Hong Kong,1,2
JAI,Asia,India,1,1
JSA,Asia,India,1,1
TXL,Europe,Germany,1,2
VCE,Europe,Italy,1,1
CIA,Europe,Italy,1,1
CDG,Europe,France,1,2
LAS,North America,United States,1,1
SLC,North America,United States,1,2
CLT,North America,United States,1,2
EWR,North America,United States,1,1
PAE,North America,United States,1,1
YUL,North America,Canada,1,2
RIC,North America,United States,1,1
AUS,North America,United States,14,11
FAI,North America,United States,4,3
ANC,North America,United States,2,2
BRW,North America,United States,2,1
IAH,North America,United States,1,2
DAL,North America,United States,1,1
JAC,North America,United States,2,1
IAD,North America,United States,1,1